report_id,family_id,report_date,borough,child_age,child_race_ethnicity,allegation_type,reporter_type,reporter_accuracy_score,assigned_caseworker_id,caseworker_caseload,narrative,outcome
SCR000259,FAM00112,2023-06-02,Bronx,4,Multiracial,Physical Abuse,School/Educational Staff,0.275,CW0007,34,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000260,FAM00510,2022-12-27,Brooklyn,3,Black/African American,Sexual Abuse,Law Enforcement,0.376,CW0023,79,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000261,FAM00473,2023-05-18,Manhattan,3,Hispanic/Latino,Neglect - Inadequate Supervision,Daycare/Childcare,0.346,CW0046,70,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000262,FAM00099,2023-04-22,Brooklyn,3,White,Physical Abuse,Law Enforcement,0.384,CW0078,59,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000263,FAM00153,2023-08-15,Bronx,0,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.546,CW0028,77,Law enforcement responded to domestic incident. Child present in home.,Still Open
SCR000264,FAM00338,2021-04-21,Queens,0,Black/African American,Physical Abuse,School/Educational Staff,0.329,CW0024,68,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000265,FAM00163,2024-10-11,Queens,17,Unknown,Physical Abuse,Law Enforcement,0.278,CW0007,56,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unfounded
SCR000266,FAM00161,2024-08-31,Queens,5,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Family Member,0.193,CW0079,71,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000267,FAM00580,2024-08-16,Bronx,5,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Neighbor/Community,0.083,CW0049,66,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000268,FAM00398,2021-07-21,Brooklyn,10,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.294,CW0003,36,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000269,FAM00277,2021-05-05,Staten Island,2,Hispanic/Latino,Emotional Abuse,School/Educational Staff,0.211,CW0002,34,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Substantiated
SCR000270,FAM00504,2023-04-05,Queens,16,Hispanic/Latino,Neglect - Inadequate Supervision,Neighbor/Community,0.136,CW0007,44,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000271,FAM00392,2022-11-26,Bronx,12,Black/African American,Physical Abuse,Daycare/Childcare,0.274,CW0021,71,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000272,FAM00135,2021-08-12,Bronx,1,Black/African American,Neglect - Inadequate Supervision,Family Member,0.239,CW0009,37,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000273,FAM00195,2022-05-25,Brooklyn,5,White,Physical Abuse,School/Educational Staff,0.31,CW0012,38,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000274,FAM00401,2022-01-28,Queens,14,Black/African American,Physical Abuse,Law Enforcement,0.395,CW0024,40,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000275,FAM00640,2022-01-25,Brooklyn,16,Black/African American,Neglect - Inadequate Supervision,Daycare/Childcare,0.345,CW0033,51,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000276,FAM00033,2024-01-04,Brooklyn,6,Hispanic/Latino,Neglect - Educational,Daycare/Childcare,0.28,CW0078,63,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000277,FAM00460,2023-07-08,Bronx,9,White,Neglect - Educational,Hospital/Medical,0.446,CW0043,64,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000278,FAM00470,2021-10-15,Manhattan,2,Black/African American,Physical Abuse,School/Educational Staff,0.406,CW0005,42,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000279,FAM00375,2023-05-15,Queens,17,Hispanic/Latino,Sexual Abuse,Law Enforcement,0.4,CW0079,40,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000280,FAM00022,2022-01-11,Brooklyn,3,Black/African American,Neglect - Educational,School/Educational Staff,0.289,CW0071,61,Law enforcement responded to domestic incident. Child present in home.,Still Open
SCR000281,FAM00038,2022-07-25,Queens,16,Black/African American,Physical Abuse,Hospital/Medical,0.349,CW0014,71,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Still Open
SCR000282,FAM00230,2023-08-06,Staten Island,9,Black/African American,Neglect - Inadequate Supervision,Neighbor/Community,0.135,CW0036,44,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000283,FAM00365,2022-05-27,Bronx,8,White,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.443,CW0035,67,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Still Open
SCR000284,FAM00563,2021-06-04,Brooklyn,7,Black/African American,Neglect - Medical,Anonymous,0.194,CW0050,30,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000285,FAM00438,2023-06-27,Bronx,3,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.323,CW0079,75,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000286,FAM00283,2024-02-02,Queens,2,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Law Enforcement,0.42,CW0011,79,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000287,FAM00027,2021-07-20,Brooklyn,2,White,Neglect - Educational,Social Service Provider,0.365,CW0024,53,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000288,FAM00226,2021-04-14,Manhattan,2,Black/African American,Neglect - Educational,School/Educational Staff,0.335,CW0075,72,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000289,FAM00277,2024-08-28,Queens,12,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.277,CW0044,69,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000290,FAM00609,2024-01-13,Brooklyn,4,Black/African American,Neglect - Educational,Hospital/Medical,0.429,CW0051,51,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000291,FAM00284,2021-01-31,Queens,0,Hispanic/Latino,Physical Abuse,School/Educational Staff,0.268,CW0017,32,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000292,FAM00481,2021-07-11,Brooklyn,16,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Daycare/Childcare,0.351,CW0070,43,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000293,FAM00453,2022-04-30,Bronx,14,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Family Member,0.237,CW0008,31,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000294,FAM00516,2021-12-07,Manhattan,15,Black/African American,Neglect - Educational,Hospital/Medical,0.504,CW0079,61,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Still Open
SCR000295,FAM00547,2023-04-13,Queens,17,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.245,CW0074,77,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000296,FAM00192,2023-09-22,Brooklyn,2,Black/African American,Physical Abuse,Hospital/Medical,0.444,CW0028,67,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000297,FAM00049,2023-09-13,Queens,5,Black/African American,Domestic Violence Exposure,Daycare/Childcare,0.424,CW0079,62,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000298,FAM00512,2022-03-14,Queens,11,Black/African American,Neglect - Educational,School/Educational Staff,0.348,CW0012,75,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000299,FAM00017,2023-04-02,Bronx,10,White,Neglect - Medical,Law Enforcement,0.422,CW0043,71,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Substantiated
SCR000300,FAM00172,2021-05-01,Staten Island,1,Unknown,Neglect - Inadequate Food/Clothing/Shelter,Law Enforcement,0.409,CW0037,35,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000301,FAM00220,2021-12-04,Bronx,13,Unknown,Neglect - Inadequate Food/Clothing/Shelter,Law Enforcement,0.445,CW0063,70,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000302,FAM00158,2023-02-16,Bronx,2,Asian,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.256,CW0063,68,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000303,FAM00477,2021-01-05,Bronx,2,Hispanic/Latino,Neglect - Educational,Daycare/Childcare,0.281,CW0010,54,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000304,FAM00046,2023-03-11,Queens,7,White,Neglect - Educational,School/Educational Staff,0.31,CW0078,63,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000305,FAM00373,2022-06-28,Manhattan,8,Black/African American,Physical Abuse,School/Educational Staff,0.202,CW0037,40,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000306,FAM00518,2023-07-21,Bronx,8,Hispanic/Latino,Neglect - Inadequate Supervision,Family Member,0.282,CW0011,75,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000307,FAM00099,2022-08-08,Brooklyn,1,Hispanic/Latino,Neglect - Medical,Daycare/Childcare,0.411,CW0019,66,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000308,FAM00037,2023-05-17,Manhattan,14,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.288,CW0052,70,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000309,FAM00280,2024-11-27,Bronx,3,White,Neglect - Educational,School/Educational Staff,0.291,CW0018,36,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000310,FAM00349,2024-02-13,Queens,1,Black/African American,Physical Abuse,School/Educational Staff,0.306,CW0032,75,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000311,FAM00497,2024-09-17,Queens,14,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.313,CW0023,77,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000312,FAM00302,2023-09-24,Brooklyn,16,Multiracial,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.316,CW0012,51,Anonymous caller reports child home alone. No food observed in home.,Still Open
SCR000313,FAM00181,2021-11-14,Staten Island,14,Black/African American,Physical Abuse,School/Educational Staff,0.338,CW0058,77,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000314,FAM00607,2022-01-24,Brooklyn,12,Hispanic/Latino,Neglect - Medical,Hospital/Medical,0.411,CW0077,68,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Substantiated
SCR000315,FAM00099,2022-08-31,Staten Island,9,Multiracial,Emotional Abuse,Daycare/Childcare,0.397,CW0021,39,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000316,FAM00116,2022-03-22,Manhattan,8,Hispanic/Latino,Physical Abuse,Law Enforcement,0.402,CW0021,50,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000317,FAM00191,2021-04-30,Manhattan,1,Hispanic/Latino,Physical Abuse,Law Enforcement,0.35,CW0029,35,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000318,FAM00253,2024-04-01,Bronx,5,Black/African American,Neglect - Medical,School/Educational Staff,0.377,CW0079,78,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000319,FAM00161,2024-01-16,Queens,5,Black/African American,Neglect - Inadequate Supervision,Neighbor/Community,0.112,CW0047,30,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000320,FAM00256,2021-05-05,Brooklyn,3,Asian,Neglect - Educational,Anonymous,0.135,CW0012,63,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000321,FAM00323,2022-10-05,Bronx,11,Hispanic/Latino,Neglect - Inadequate Supervision,Anonymous,0.188,CW0058,43,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000322,FAM00128,2021-04-28,Bronx,7,Hispanic/Latino,Neglect - Inadequate Supervision,Anonymous,0.104,CW0041,65,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000323,FAM00018,2021-04-13,Brooklyn,1,Black/African American,Physical Abuse,Neighbor/Community,0.195,CW0019,56,Anonymous caller reports child home alone. No food observed in home.,Still Open
SCR000324,FAM00566,2024-04-11,Brooklyn,2,Black/African American,Physical Abuse,Shelter Staff,0.307,CW0012,38,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000325,FAM00570,2023-09-04,Manhattan,10,Unknown,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.267,CW0023,35,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000326,FAM00323,2023-10-27,Queens,0,Black/African American,Neglect - Educational,Law Enforcement,0.376,CW0005,60,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000327,FAM00626,2023-12-24,Bronx,14,Hispanic/Latino,Physical Abuse,Daycare/Childcare,0.342,CW0026,46,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000328,FAM00288,2021-11-19,Manhattan,7,Black/African American,Neglect - Inadequate Supervision,Daycare/Childcare,0.322,CW0063,72,Anonymous caller reports child home alone. No food observed in home.,Still Open
SCR000329,FAM00639,2021-04-27,Bronx,6,Hispanic/Latino,Physical Abuse,Shelter Staff,0.395,CW0052,65,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000330,FAM00155,2023-11-07,Queens,8,Multiracial,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.272,CW0010,50,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000331,FAM00490,2021-06-14,Queens,13,Hispanic/Latino,Neglect - Inadequate Supervision,Hospital/Medical,0.47,CW0039,56,Anonymous caller reports child home alone. No food observed in home.,Still Open
SCR000332,FAM00386,2022-01-16,Brooklyn,4,Black/African American,Neglect - Educational,Family Member,0.2,CW0023,70,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000333,FAM00104,2021-05-21,Manhattan,10,Hispanic/Latino,Neglect - Educational,Law Enforcement,0.326,CW0011,57,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000334,FAM00393,2024-05-03,Brooklyn,8,White,Sexual Abuse,Shelter Staff,0.285,CW0072,45,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000335,FAM00246,2021-05-20,Brooklyn,3,Hispanic/Latino,Neglect - Medical,School/Educational Staff,0.342,CW0048,64,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000336,FAM00176,2024-10-14,Queens,14,Asian,Physical Abuse,Hospital/Medical,0.466,CW0016,65,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000337,FAM00039,2022-04-27,Brooklyn,12,Hispanic/Latino,Neglect - Educational,Family Member,0.298,CW0046,64,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000338,FAM00477,2023-04-07,Brooklyn,9,Multiracial,Neglect - Inadequate Supervision,Law Enforcement,0.527,CW0047,74,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000339,FAM00538,2021-09-03,Brooklyn,14,Hispanic/Latino,Physical Abuse,Anonymous,0.153,CW0048,48,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000340,FAM00408,2024-03-12,Queens,14,Black/African American,Emotional Abuse,Hospital/Medical,0.387,CW0069,50,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000341,FAM00525,2022-05-20,Brooklyn,10,Black/African American,Neglect - Educational,Law Enforcement,0.403,CW0025,62,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Still Open
SCR000342,FAM00506,2024-03-31,Bronx,13,Black/African American,Neglect - Educational,School/Educational Staff,0.297,CW0077,52,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000343,FAM00036,2024-05-02,Manhattan,10,Multiracial,Physical Abuse,Daycare/Childcare,0.396,CW0037,35,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000344,FAM00020,2021-03-23,Queens,10,White,Neglect - Inadequate Supervision,Hospital/Medical,0.355,CW0063,61,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000345,FAM00321,2024-06-22,Bronx,9,Hispanic/Latino,Neglect - Inadequate Supervision,Hospital/Medical,0.538,CW0029,51,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unfounded
SCR000346,FAM00512,2021-06-17,Bronx,11,Black/African American,Neglect - Educational,Law Enforcement,0.423,CW0058,32,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unfounded
SCR000347,FAM00400,2023-05-09,Bronx,1,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Neighbor/Community,0.096,CW0031,64,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000348,FAM00471,2024-09-08,Brooklyn,14,White,Sexual Abuse,School/Educational Staff,0.275,CW0068,45,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000349,FAM00143,2024-04-10,Brooklyn,14,Hispanic/Latino,Domestic Violence Exposure,Anonymous,0.181,CW0041,71,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Still Open
SCR000350,FAM00092,2024-03-03,Manhattan,0,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.479,CW0050,54,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000351,FAM00354,2023-12-07,Manhattan,13,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.356,CW0044,46,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000352,FAM00051,2022-10-10,Manhattan,1,Black/African American,Neglect - Educational,School/Educational Staff,0.346,CW0009,68,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000353,FAM00575,2022-06-19,Brooklyn,4,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.323,CW0059,42,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000354,FAM00190,2022-02-23,Queens,11,Hispanic/Latino,Neglect - Inadequate Supervision,Shelter Staff,0.276,CW0027,57,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Substantiated
SCR000355,FAM00125,2024-10-03,Brooklyn,2,Black/African American,Physical Abuse,School/Educational Staff,0.366,CW0059,40,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000356,FAM00150,2022-10-06,Staten Island,13,Unknown,Neglect - Inadequate Supervision,Shelter Staff,0.252,CW0003,39,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000357,FAM00314,2022-05-04,Manhattan,13,Black/African American,Neglect - Inadequate Supervision,Family Member,0.145,CW0007,68,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000358,FAM00570,2022-06-28,Bronx,7,Black/African American,Neglect - Educational,School/Educational Staff,0.317,CW0016,53,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000359,FAM00342,2023-03-22,Manhattan,0,Black/African American,Neglect - Inadequate Supervision,Anonymous,0.11,CW0049,67,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000360,FAM00305,2021-09-26,Brooklyn,3,White,Neglect - Educational,Hospital/Medical,0.451,CW0032,53,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000361,FAM00054,2024-10-07,Manhattan,9,Hispanic/Latino,Neglect - Educational,Law Enforcement,0.336,CW0044,62,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000362,FAM00444,2024-08-14,Bronx,17,Hispanic/Latino,Domestic Violence Exposure,School/Educational Staff,0.271,CW0019,46,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000363,FAM00613,2022-09-07,Bronx,9,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.209,CW0003,73,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000364,FAM00264,2023-07-26,Queens,3,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.318,CW0060,65,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000365,FAM00053,2022-10-10,Bronx,9,Hispanic/Latino,Sexual Abuse,School/Educational Staff,0.302,CW0035,64,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000366,FAM00572,2021-05-29,Queens,7,White,Domestic Violence Exposure,School/Educational Staff,0.251,CW0029,35,Anonymous caller reports child home alone. No food observed in home.,Unsubstantiated
SCR000367,FAM00620,2021-01-20,Bronx,12,Asian,Neglect - Inadequate Food/Clothing/Shelter,Law Enforcement,0.39,CW0075,45,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000368,FAM00005,2023-07-28,Manhattan,1,Black/African American,Emotional Abuse,Family Member,0.271,CW0070,74,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000369,FAM00103,2024-06-26,Manhattan,12,Hispanic/Latino,Neglect - Inadequate Supervision,Anonymous,0.129,CW0045,57,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000370,FAM00196,2024-02-28,Brooklyn,7,Multiracial,Neglect - Inadequate Supervision,Daycare/Childcare,0.363,CW0027,70,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Still Open
SCR000371,FAM00350,2021-07-24,Brooklyn,16,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.324,CW0069,61,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000372,FAM00047,2021-05-31,Bronx,4,White,Physical Abuse,Hospital/Medical,0.36,CW0035,55,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000373,FAM00269,2024-01-07,Bronx,9,Black/African American,Physical Abuse,Hospital/Medical,0.523,CW0019,40,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Still Open
SCR000374,FAM00370,2022-03-13,Brooklyn,16,Multiracial,Neglect - Inadequate Supervision,School/Educational Staff,0.286,CW0017,54,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000375,FAM00636,2023-11-03,Manhattan,1,White,Neglect - Educational,Shelter Staff,0.313,CW0035,60,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000376,FAM00106,2022-06-28,Queens,16,Unknown,Physical Abuse,Shelter Staff,0.318,CW0077,50,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000377,FAM00120,2021-09-29,Queens,10,Hispanic/Latino,Neglect - Educational,Hospital/Medical,0.413,CW0078,74,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000378,FAM00604,2022-12-16,Queens,0,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.45,CW0030,32,Anonymous caller reports child home alone. No food observed in home.,Still Open
SCR000379,FAM00058,2021-05-21,Queens,4,Multiracial,Physical Abuse,Anonymous,0.152,CW0048,41,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000380,FAM00346,2022-05-16,Manhattan,10,Black/African American,Physical Abuse,Anonymous,0.069,CW0057,69,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000381,FAM00474,2023-01-27,Bronx,0,Black/African American,Emotional Abuse,Hospital/Medical,0.403,CW0017,75,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000382,FAM00117,2022-08-07,Queens,8,White,Sexual Abuse,Family Member,0.189,CW0015,70,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Substantiated
SCR000383,FAM00127,2021-11-20,Manhattan,4,White,Neglect - Inadequate Food/Clothing/Shelter,Neighbor/Community,0.157,CW0014,54,Law enforcement responded to domestic incident. Child present in home.,Unfounded
SCR000384,FAM00393,2023-06-17,Brooklyn,9,Multiracial,Physical Abuse,Hospital/Medical,0.355,CW0014,46,Anonymous caller reports child home alone. No food observed in home.,Still Open
SCR000385,FAM00641,2024-01-18,Bronx,0,Black/African American,Physical Abuse,Hospital/Medical,0.476,CW0045,67,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Still Open
SCR000386,FAM00058,2024-12-11,Brooklyn,14,White,Neglect - Educational,Shelter Staff,0.36,CW0038,65,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000387,FAM00634,2022-09-12,Brooklyn,17,White,Neglect - Educational,Neighbor/Community,0.229,CW0063,65,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000388,FAM00513,2024-06-06,Queens,16,Black/African American,Neglect - Inadequate Supervision,Family Member,0.284,CW0075,48,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unfounded
SCR000389,FAM00096,2024-09-01,Brooklyn,11,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.293,CW0011,73,Law enforcement responded to domestic incident. Child present in home.,Still Open
SCR000390,FAM00638,2023-12-20,Brooklyn,1,Black/African American,Physical Abuse,Hospital/Medical,0.388,CW0048,31,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000391,FAM00118,2021-01-17,Staten Island,11,Black/African American,Sexual Abuse,Shelter Staff,0.241,CW0026,46,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000392,FAM00560,2024-09-29,Bronx,0,Unknown,Neglect - Educational,Shelter Staff,0.312,CW0067,59,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000393,FAM00601,2024-02-10,Brooklyn,0,Hispanic/Latino,Neglect - Educational,School/Educational Staff,0.321,CW0025,76,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000394,FAM00488,2022-09-06,Bronx,4,White,Domestic Violence Exposure,Anonymous,0.136,CW0061,39,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000395,FAM00237,2024-09-20,Manhattan,6,Unknown,Neglect - Educational,Law Enforcement,0.445,CW0026,64,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Substantiated
SCR000396,FAM00272,2021-08-01,Queens,12,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.16,CW0034,65,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000397,FAM00189,2021-10-03,Bronx,10,White,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.098,CW0009,62,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unfounded
SCR000398,FAM00447,2022-06-26,Queens,6,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Daycare/Childcare,0.316,CW0040,30,Anonymous caller reports child home alone. No food observed in home.,Unfounded
SCR000399,FAM00581,2021-08-25,Bronx,3,Asian,Neglect - Educational,Hospital/Medical,0.454,CW0075,47,Law enforcement responded to domestic incident. Child present in home.,Unfounded
