report_id,family_id,prior_reports_12mo,prior_substantiated_flag,days_since_last_report,n_children_in_household,child_age_under_5,dv_history_flag,substance_use_flag,shelter_involvement_flag,days_to_first_contact,reporter_accuracy_score,caseworker_caseload,needs_investigative_consultation
SCR000332,FAM00386,0,0,,1,1,0,1.0,1,5.0,0.2,70,0
SCR000333,FAM00104,0,1,,2,0,1,,0,3.0,0.326,57,0
SCR000334,FAM00393,0,0,,2,0,0,0.0,1,6.0,0.285,45,0
SCR000335,FAM00246,2,0,337.0,4,1,1,0.0,1,1.0,0.342,64,1
SCR000336,FAM00176,1,0,324.0,2,0,0,,0,2.0,0.466,65,0
SCR000337,FAM00039,1,0,173.0,1,0,0,0.0,0,1.0,0.298,64,0
SCR000338,FAM00477,0,0,,2,0,1,1.0,0,2.0,0.527,74,0
SCR000339,FAM00538,3,0,64.0,2,0,1,1.0,0,1.0,0.153,48,1
SCR000340,FAM00408,0,0,,2,0,1,0.0,0,1.0,0.387,50,0
SCR000341,FAM00525,2,0,322.0,3,0,0,0.0,0,1.0,0.403,62,0
SCR000342,FAM00506,0,0,,3,0,0,1.0,0,2.0,0.297,52,0
SCR000343,FAM00036,0,0,,4,0,0,,0,1.0,0.396,35,0
SCR000344,FAM00020,0,1,,5,0,0,1.0,1,1.0,0.355,61,0
SCR000345,FAM00321,1,0,87.0,1,0,0,0.0,0,1.0,0.538,51,0
SCR000346,FAM00512,0,0,,3,0,1,1.0,0,,0.423,32,0
SCR000347,FAM00400,1,0,259.0,2,1,1,0.0,1,6.0,0.096,64,1
SCR000348,FAM00471,0,0,,3,0,0,,0,,0.275,45,0
SCR000349,FAM00143,1,0,178.0,2,0,0,1.0,0,1.0,0.181,71,0
SCR000350,FAM00092,1,0,280.0,5,1,1,0.0,1,4.0,0.479,54,1
SCR000351,FAM00354,1,0,344.0,3,0,0,,1,3.0,0.356,46,0
SCR000352,FAM00051,0,0,,5,1,0,0.0,0,3.0,0.346,68,0
SCR000353,FAM00575,3,0,296.0,3,1,0,1.0,0,3.0,0.323,42,1
SCR000354,FAM00190,3,0,202.0,4,0,0,0.0,1,6.0,0.276,57,0
SCR000355,FAM00125,0,0,,3,1,1,0.0,0,1.0,0.366,40,0
SCR000356,FAM00150,1,0,262.0,2,0,0,1.0,0,10.0,0.252,39,0
SCR000357,FAM00314,3,0,194.0,1,0,0,0.0,0,4.0,0.145,68,0
SCR000358,FAM00570,0,0,,2,0,0,0.0,0,2.0,0.317,53,0
SCR000359,FAM00342,2,0,35.0,1,1,1,1.0,0,,0.11,67,0
SCR000360,FAM00305,0,0,,2,1,1,0.0,0,3.0,0.451,53,0
SCR000361,FAM00054,1,0,263.0,2,0,0,1.0,1,1.0,0.336,62,0
SCR000362,FAM00444,0,0,,2,0,0,0.0,0,1.0,0.271,46,0
SCR000363,FAM00613,2,1,53.0,5,0,0,,0,7.0,0.209,73,0
SCR000364,FAM00264,0,1,,4,1,0,1.0,0,2.0,0.318,65,0
SCR000365,FAM00053,0,0,,1,0,0,0.0,1,1.0,0.302,64,0
SCR000366,FAM00572,4,0,76.0,2,0,0,0.0,0,3.0,0.251,35,0
SCR000367,FAM00620,0,0,,2,0,0,0.0,0,2.0,0.39,45,0
SCR000368,FAM00005,0,0,,2,1,0,1.0,1,1.0,0.271,74,0
SCR000369,FAM00103,0,0,,3,0,0,0.0,0,3.0,0.129,57,0
SCR000370,FAM00196,1,0,280.0,2,0,1,0.0,0,3.0,0.363,70,0
SCR000371,FAM00350,0,0,,2,0,0,0.0,1,1.0,0.324,61,0
SCR000372,FAM00047,0,1,,4,1,0,0.0,1,7.0,0.36,55,1
SCR000373,FAM00269,0,0,,3,0,1,0.0,0,1.0,0.523,40,0
SCR000374,FAM00370,1,1,252.0,1,0,0,0.0,1,2.0,0.286,54,1
SCR000375,FAM00636,0,1,,3,1,0,0.0,0,1.0,0.313,60,1
SCR000376,FAM00106,0,0,,2,0,0,0.0,0,,0.318,50,1
SCR000377,FAM00120,0,0,,1,0,0,0.0,1,1.0,0.413,74,0
SCR000378,FAM00604,0,0,,1,1,1,0.0,1,1.0,0.45,32,1
SCR000379,FAM00058,1,0,73.0,2,1,0,0.0,0,4.0,0.152,41,0
SCR000380,FAM00346,1,0,330.0,2,0,1,1.0,0,,0.069,69,0
SCR000381,FAM00474,3,0,36.0,1,1,0,1.0,0,4.0,0.403,75,0
SCR000382,FAM00117,0,0,,3,0,0,,0,2.0,0.189,70,0
SCR000383,FAM00127,1,1,216.0,3,1,0,0.0,0,9.0,0.157,54,1
SCR000384,FAM00393,2,0,206.0,1,0,0,0.0,0,2.0,0.355,46,1
SCR000385,FAM00641,0,1,,1,1,0,1.0,0,1.0,0.476,67,1
SCR000386,FAM00058,1,0,91.0,3,0,0,1.0,0,1.0,0.36,65,1
SCR000387,FAM00634,0,0,,1,0,0,0.0,0,5.0,0.229,65,0
SCR000388,FAM00513,0,0,,4,0,0,0.0,1,4.0,0.284,48,1
SCR000389,FAM00096,0,0,,2,0,1,0.0,0,1.0,0.293,73,0
SCR000390,FAM00638,0,1,,2,1,0,0.0,0,2.0,0.388,31,1
SCR000391,FAM00118,0,0,,1,0,1,1.0,1,2.0,0.241,46,1
SCR000392,FAM00560,2,0,282.0,1,1,0,0.0,0,7.0,0.312,59,1
SCR000393,FAM00601,0,0,,1,1,0,0.0,0,6.0,0.321,76,0
SCR000394,FAM00488,1,0,228.0,1,1,1,0.0,0,9.0,0.136,39,0
SCR000395,FAM00237,0,0,,2,0,0,1.0,0,5.0,0.445,64,0
SCR000396,FAM00272,0,0,,1,0,0,,0,5.0,0.16,65,0
SCR000397,FAM00189,0,0,,2,0,0,1.0,0,1.0,0.098,62,0
SCR000398,FAM00447,0,0,,2,0,0,0.0,0,4.0,0.316,30,0
SCR000399,FAM00581,1,1,71.0,1,1,0,0.0,0,3.0,0.454,47,1
SCR000400,FAM00247,0,0,,1,0,1,1.0,0,7.0,0.432,33,0
SCR000401,FAM00076,1,0,95.0,1,0,0,0.0,0,,0.338,76,0
SCR000402,FAM00154,0,0,,1,0,1,0.0,1,1.0,0.475,56,0
SCR000403,FAM00435,0,0,,3,1,0,0.0,0,2.0,0.392,54,0
SCR000404,FAM00086,0,0,,2,0,0,0.0,0,,0.372,57,0
SCR000405,FAM00285,0,0,,3,0,0,0.0,0,1.0,0.268,51,1
SCR000406,FAM00220,2,0,13.0,2,1,1,,0,2.0,0.245,71,0
SCR000407,FAM00069,0,0,,2,1,1,0.0,1,2.0,0.291,54,0
SCR000408,FAM00047,2,0,224.0,2,0,0,,0,1.0,0.348,46,1
SCR000409,FAM00094,2,0,175.0,3,0,0,0.0,1,,0.441,73,1
SCR000410,FAM00453,0,0,,1,1,0,,0,1.0,0.371,41,0
SCR000411,FAM00204,0,0,,1,0,0,0.0,1,,0.338,45,1
SCR000412,FAM00218,0,1,,2,1,0,,0,,0.298,66,0
SCR000413,FAM00474,0,0,,2,0,1,1.0,0,1.0,0.341,45,1
SCR000414,FAM00432,0,1,,2,0,0,1.0,0,3.0,0.351,46,0
SCR000415,FAM00341,1,0,306.0,2,0,1,0.0,0,3.0,0.211,60,0
SCR000416,FAM00551,1,0,334.0,2,0,0,0.0,0,1.0,0.199,44,0
SCR000417,FAM00612,0,0,,2,0,0,0.0,0,1.0,0.357,42,0
SCR000418,FAM00289,1,0,3.0,2,1,0,,0,2.0,0.434,69,1
SCR000419,FAM00254,1,0,179.0,3,0,0,0.0,1,2.0,0.25,56,0
SCR000420,FAM00357,0,0,,3,0,1,0.0,0,,0.188,50,0
SCR000421,FAM00023,0,1,,2,0,0,0.0,0,2.0,0.262,31,0
SCR000422,FAM00522,0,0,,3,1,0,0.0,1,1.0,0.376,37,0
SCR000423,FAM00100,1,0,235.0,4,1,0,0.0,1,8.0,0.266,71,1
SCR000424,FAM00180,0,0,,2,1,0,1.0,0,1.0,0.317,36,0
SCR000425,FAM00223,1,0,360.0,2,0,0,0.0,0,3.0,0.445,39,0
SCR000426,FAM00442,0,0,,3,1,1,1.0,0,1.0,0.344,33,1
SCR000427,FAM00608,0,0,,2,0,0,1.0,0,1.0,0.192,72,0
SCR000428,FAM00325,2,0,142.0,1,0,1,0.0,0,2.0,0.114,70,1
SCR000429,FAM00516,1,0,86.0,4,0,0,0.0,1,1.0,0.365,65,0
SCR000430,FAM00016,1,1,46.0,1,1,0,0.0,0,2.0,0.309,64,0
SCR000431,FAM00336,1,0,332.0,3,0,1,1.0,0,,0.444,72,1
SCR000432,FAM00258,0,0,,3,0,0,0.0,1,2.0,0.444,32,0
SCR000433,FAM00497,0,1,,5,0,1,0.0,0,3.0,0.261,47,1
SCR000434,FAM00160,2,0,152.0,1,0,0,0.0,0,1.0,0.334,75,0
SCR000435,FAM00475,1,0,61.0,2,0,0,0.0,0,5.0,0.314,72,0
SCR000436,FAM00380,0,0,,2,0,1,0.0,0,1.0,0.348,53,0
SCR000437,FAM00545,1,0,86.0,2,1,1,0.0,0,,0.234,61,0
SCR000438,FAM00427,0,0,,1,1,0,1.0,0,3.0,0.463,63,0
SCR000439,FAM00613,0,0,,2,0,0,1.0,1,2.0,0.23,31,0
SCR000440,FAM00268,0,0,,2,0,0,0.0,0,2.0,0.378,31,1
SCR000441,FAM00577,1,0,104.0,1,0,1,0.0,0,1.0,0.247,39,0
SCR000442,FAM00417,0,0,,2,0,0,1.0,0,4.0,0.242,52,0
SCR000443,FAM00168,0,1,,3,1,1,,0,2.0,0.348,44,1
SCR000444,FAM00043,3,0,357.0,3,1,0,1.0,0,1.0,0.293,41,1
SCR000445,FAM00556,0,0,,4,0,0,0.0,0,1.0,0.302,72,0
SCR000446,FAM00285,0,0,,2,0,0,0.0,0,4.0,0.3,46,0
SCR000447,FAM00397,0,1,,5,1,0,0.0,0,2.0,0.396,47,0
SCR000448,FAM00012,0,0,,4,0,1,0.0,0,1.0,0.338,43,0
SCR000449,FAM00607,2,0,327.0,1,1,0,1.0,0,,0.395,46,0
SCR000450,FAM00302,0,1,,1,0,1,,0,1.0,0.222,44,1
SCR000451,FAM00253,0,0,,2,1,0,0.0,0,2.0,0.282,41,0
SCR000452,FAM00499,0,1,,2,0,1,0.0,0,4.0,0.287,45,0
SCR000453,FAM00035,0,0,,2,1,1,1.0,0,2.0,0.497,61,0
SCR000454,FAM00090,0,0,,2,0,0,0.0,1,2.0,0.358,52,0
SCR000455,FAM00605,0,1,,3,1,0,1.0,0,5.0,0.166,67,0
SCR000456,FAM00602,0,0,,2,1,0,0.0,0,2.0,0.285,63,0
SCR000457,FAM00418,0,0,,1,0,1,0.0,0,2.0,0.317,63,0
SCR000458,FAM00115,0,0,,4,0,1,1.0,0,1.0,0.196,45,1
SCR000459,FAM00617,0,1,,2,0,0,,0,2.0,0.367,63,0
SCR000460,FAM00196,3,0,197.0,5,1,1,0.0,0,2.0,0.379,69,0
SCR000461,FAM00501,0,0,,1,0,0,0.0,0,2.0,0.347,36,0
SCR000462,FAM00626,1,0,88.0,5,0,0,0.0,0,10.0,0.343,62,0
SCR000463,FAM00493,0,0,,1,0,1,0.0,0,5.0,0.365,33,0
SCR000464,FAM00075,0,0,,1,1,0,,1,3.0,0.27,72,0
SCR000465,FAM00413,0,0,,1,0,1,0.0,0,2.0,0.167,36,0
SCR000466,FAM00376,0,0,,3,1,0,0.0,0,2.0,0.092,47,0
SCR000467,FAM00420,0,0,,4,1,0,0.0,1,1.0,0.098,33,0
SCR000468,FAM00277,1,0,356.0,2,0,0,0.0,1,1.0,0.283,78,0
SCR000469,FAM00394,0,0,,4,1,0,1.0,0,3.0,0.429,40,0
SCR000470,FAM00457,2,1,75.0,2,0,1,1.0,0,,0.049,72,1
SCR000471,FAM00192,0,1,,2,0,0,,0,,0.443,49,0
SCR000472,FAM00099,2,0,63.0,3,0,0,0.0,1,1.0,0.349,40,1
SCR000473,FAM00548,0,0,,1,0,0,1.0,0,,0.136,44,0
SCR000474,FAM00096,0,0,,2,1,0,0.0,1,3.0,0.339,75,0
SCR000475,FAM00190,5,0,275.0,4,1,1,0.0,0,2.0,0.246,46,1
SCR000476,FAM00037,0,0,,4,0,0,1.0,0,5.0,0.292,63,0
SCR000477,FAM00369,0,0,,5,1,0,0.0,1,10.0,0.4,79,1
SCR000478,FAM00525,0,0,,4,1,1,0.0,0,1.0,0.136,77,0
SCR000479,FAM00279,0,1,,1,1,0,1.0,0,1.0,0.204,41,1
SCR000480,FAM00217,0,0,,3,1,1,0.0,0,,0.24,71,0
SCR000481,FAM00273,0,0,,2,0,0,0.0,0,3.0,0.283,57,0
SCR000482,FAM00062,1,0,126.0,5,1,0,,0,1.0,0.215,77,0
SCR000483,FAM00596,1,1,255.0,2,0,1,0.0,0,,0.481,64,1
SCR000484,FAM00342,1,0,72.0,2,0,0,1.0,0,2.0,0.39,37,1
SCR000485,FAM00397,1,0,38.0,2,0,0,0.0,0,2.0,0.247,56,0
SCR000486,FAM00019,0,0,,2,1,0,0.0,0,3.0,0.271,51,0
SCR000487,FAM00177,1,0,204.0,1,1,0,1.0,1,2.0,0.345,53,1
SCR000488,FAM00612,0,0,,4,1,0,0.0,0,2.0,0.302,31,0
SCR000489,FAM00396,0,0,,3,0,1,,0,1.0,0.509,60,1
SCR000490,FAM00445,1,0,217.0,1,0,0,0.0,0,2.0,0.132,51,0
SCR000491,FAM00233,1,0,245.0,3,1,0,,0,2.0,0.354,30,0
SCR000492,FAM00076,0,0,,2,0,1,0.0,1,2.0,0.305,43,1
SCR000493,FAM00265,0,1,,2,1,0,1.0,0,5.0,0.318,54,0
SCR000494,FAM00455,3,0,298.0,1,0,0,1.0,0,5.0,0.454,65,0
SCR000495,FAM00384,0,0,,4,0,1,0.0,0,4.0,0.3,65,0
SCR000496,FAM00564,1,0,182.0,3,0,1,0.0,1,,0.454,70,0
SCR000497,FAM00506,2,0,334.0,2,0,0,0.0,1,3.0,0.306,32,0
SCR000498,FAM00367,1,0,205.0,2,0,0,0.0,1,2.0,0.315,34,1
SCR000499,FAM00144,0,0,,1,1,0,0.0,0,,0.463,30,0
SCR000500,FAM00069,0,1,,2,0,0,1.0,1,1.0,0.238,48,0
SCR000501,FAM00099,1,1,332.0,1,1,0,0.0,0,1.0,0.308,62,0
SCR000502,FAM00396,0,0,,1,0,1,0.0,0,1.0,0.287,71,0
SCR000503,FAM00025,1,0,242.0,3,0,1,0.0,0,2.0,0.429,59,1
SCR000504,FAM00469,1,0,130.0,4,0,1,0.0,0,7.0,0.274,41,0
SCR000505,FAM00484,0,0,,2,0,0,0.0,0,1.0,0.322,39,0
SCR000506,FAM00565,0,0,,1,0,1,0.0,1,5.0,0.41,63,0
SCR000507,FAM00151,2,0,44.0,2,0,0,0.0,0,1.0,0.356,45,0
SCR000508,FAM00144,0,1,,4,0,0,,0,1.0,0.302,69,0
SCR000509,FAM00569,0,0,,3,1,0,,0,2.0,0.113,75,0
SCR000510,FAM00039,3,1,204.0,4,1,0,,0,3.0,0.149,58,0
SCR000511,FAM00109,0,1,,2,1,1,0.0,0,1.0,0.344,44,0
SCR000512,FAM00042,1,0,257.0,3,1,0,1.0,1,1.0,0.301,77,1
SCR000513,FAM00186,1,0,17.0,1,0,0,0.0,0,2.0,0.092,40,1
SCR000514,FAM00398,0,0,,2,1,1,0.0,0,1.0,0.303,73,0
SCR000515,FAM00223,0,0,,2,0,0,,0,,0.079,63,1
SCR000516,FAM00634,0,0,,2,1,1,1.0,1,2.0,0.393,65,1
SCR000517,FAM00133,2,0,201.0,4,1,0,0.0,0,1.0,0.124,59,0
SCR000518,FAM00163,2,1,59.0,4,0,0,0.0,0,5.0,0.25,64,0
SCR000519,FAM00215,0,0,,1,0,1,0.0,0,,0.274,38,0
SCR000520,FAM00235,1,0,119.0,1,0,0,0.0,0,3.0,0.384,47,0
SCR000521,FAM00588,1,1,41.0,2,0,0,0.0,1,4.0,0.368,48,1
SCR000522,FAM00009,0,0,,1,0,0,,0,7.0,0.336,68,0
SCR000523,FAM00074,1,0,331.0,2,1,0,,0,2.0,0.377,33,0
SCR000524,FAM00492,0,0,,4,0,0,0.0,1,,0.387,35,1
SCR000525,FAM00253,1,0,8.0,5,0,0,0.0,0,1.0,0.139,62,0
SCR000526,FAM00230,2,1,183.0,3,0,0,0.0,0,3.0,0.366,61,1
SCR000527,FAM00519,0,0,,3,1,1,0.0,0,2.0,0.181,45,1
SCR000528,FAM00174,1,0,181.0,2,0,0,,0,2.0,0.338,40,1
SCR000529,FAM00168,0,0,,1,1,0,1.0,0,4.0,0.395,51,1
SCR000530,FAM00170,1,0,72.0,2,1,0,1.0,0,1.0,0.369,65,0
SCR000531,FAM00393,0,0,,2,1,1,0.0,1,5.0,0.232,79,0
SCR000532,FAM00634,0,1,,3,0,1,0.0,0,4.0,0.314,52,0
SCR000533,FAM00194,1,0,290.0,1,0,0,0.0,0,2.0,0.395,55,0
SCR000534,FAM00517,3,0,313.0,2,0,1,0.0,0,2.0,0.278,60,0
SCR000535,FAM00029,2,0,117.0,2,0,0,0.0,0,,0.249,58,0
SCR000536,FAM00165,1,0,120.0,5,0,0,1.0,0,11.0,0.278,34,1
SCR000537,FAM00422,0,0,,2,1,0,1.0,0,1.0,0.267,67,1
SCR000538,FAM00339,0,1,,3,0,0,0.0,0,2.0,0.408,54,0
SCR000539,FAM00648,0,0,,3,0,0,0.0,0,3.0,0.38,63,0
SCR000540,FAM00496,2,0,296.0,1,1,0,0.0,0,,0.25,41,0
SCR000541,FAM00365,1,0,103.0,2,0,1,0.0,0,4.0,0.326,51,0
SCR000542,FAM00342,0,0,,4,0,1,0.0,0,3.0,0.414,38,0
SCR000543,FAM00500,0,0,,2,0,0,0.0,0,1.0,0.21,49,0
SCR000544,FAM00511,0,0,,4,0,1,,0,1.0,0.35,58,0
SCR000545,FAM00327,2,0,209.0,1,0,0,0.0,0,1.0,0.337,73,0
SCR000546,FAM00217,1,1,314.0,1,0,0,0.0,0,5.0,0.284,58,1
SCR000547,FAM00301,0,0,,4,0,0,1.0,1,3.0,0.329,74,0
SCR000548,FAM00132,1,0,348.0,3,0,0,0.0,0,3.0,0.395,56,0
SCR000549,FAM00070,0,0,,5,1,0,0.0,1,3.0,0.184,46,0
SCR000550,FAM00252,0,0,,3,0,1,,0,2.0,0.365,34,1
SCR000551,FAM00415,0,1,,4,0,0,0.0,0,,0.05,74,0
SCR000552,FAM00445,0,1,,3,1,0,0.0,0,,0.308,42,1
SCR000553,FAM00182,0,0,,3,0,0,0.0,0,1.0,0.273,71,0
SCR000554,FAM00167,1,1,273.0,2,0,0,0.0,0,3.0,0.419,44,0
SCR000555,FAM00091,1,1,137.0,2,0,1,0.0,0,1.0,0.132,44,0
SCR000556,FAM00531,0,1,,4,1,0,1.0,1,3.0,0.372,47,1
SCR000557,FAM00039,1,0,301.0,2,0,1,0.0,0,3.0,0.433,79,0
SCR000558,FAM00126,0,0,,2,0,1,0.0,0,2.0,0.296,31,0
SCR000559,FAM00451,0,0,,2,1,0,0.0,0,1.0,0.295,52,1
SCR000560,FAM00173,0,1,,2,1,0,0.0,1,1.0,0.371,72,0
SCR000561,FAM00220,2,0,265.0,2,0,1,1.0,1,1.0,0.386,42,0
SCR000562,FAM00638,0,0,,1,1,1,0.0,0,3.0,0.418,72,0
SCR000563,FAM00058,1,0,84.0,4,0,0,0.0,0,1.0,0.384,33,0
SCR000564,FAM00476,0,0,,2,0,1,0.0,0,4.0,0.328,76,0
SCR000565,FAM00456,0,0,,2,1,1,0.0,0,3.0,0.156,54,0
SCR000566,FAM00361,0,1,,1,0,0,1.0,0,1.0,0.148,40,0
SCR000567,FAM00001,0,0,,1,0,0,0.0,0,3.0,0.158,79,0
SCR000568,FAM00387,3,1,261.0,1,0,1,0.0,0,3.0,0.379,77,1
SCR000569,FAM00348,2,0,63.0,3,1,0,1.0,0,3.0,0.299,71,1
SCR000570,FAM00190,1,0,164.0,1,0,0,1.0,0,1.0,0.33,41,0
SCR000571,FAM00505,0,0,,4,1,0,0.0,0,1.0,0.447,42,1
SCR000572,FAM00191,1,0,334.0,1,0,0,0.0,1,1.0,0.331,38,0
SCR000573,FAM00508,1,0,201.0,1,0,0,0.0,0,1.0,0.298,74,0
SCR000574,FAM00369,0,0,,1,1,1,0.0,0,4.0,0.303,67,0
SCR000575,FAM00409,0,0,,1,0,0,1.0,0,3.0,0.264,35,0
SCR000576,FAM00117,0,0,,3,1,0,0.0,0,6.0,0.273,72,0
SCR000577,FAM00134,2,0,114.0,4,0,0,0.0,0,1.0,0.257,72,0
SCR000578,FAM00058,0,0,,2,1,0,1.0,0,1.0,0.273,39,0
SCR000579,FAM00556,0,0,,1,0,0,0.0,0,3.0,0.325,52,0
SCR000580,FAM00173,1,0,281.0,1,0,0,0.0,1,1.0,0.448,44,0
SCR000581,FAM00149,1,0,202.0,2,1,0,1.0,0,1.0,0.419,74,0
SCR000582,FAM00080,0,0,,5,1,0,1.0,0,2.0,0.267,52,0
SCR000583,FAM00213,2,0,234.0,1,1,0,1.0,0,1.0,0.255,69,0
SCR000584,FAM00203,0,0,,3,0,0,0.0,0,3.0,0.426,66,0
SCR000585,FAM00229,0,0,,2,1,1,1.0,0,1.0,0.166,63,0
SCR000586,FAM00227,2,0,43.0,1,0,0,,0,3.0,0.258,45,1
SCR000587,FAM00532,2,0,57.0,2,0,0,0.0,0,4.0,0.145,74,0
SCR000588,FAM00441,1,0,142.0,1,1,1,1.0,0,1.0,0.113,70,1
SCR000589,FAM00402,0,0,,3,0,0,0.0,1,6.0,0.356,76,0
SCR000590,FAM00047,1,0,72.0,1,0,0,1.0,0,2.0,0.317,61,0
SCR000591,FAM00233,0,0,,3,1,0,0.0,1,6.0,0.301,67,0
SCR000592,FAM00305,0,0,,1,1,0,0.0,0,1.0,0.252,69,0
SCR000593,FAM00526,0,0,,5,1,1,1.0,0,2.0,0.356,75,0
SCR000594,FAM00143,0,0,,1,0,1,0.0,0,2.0,0.369,34,1
SCR000595,FAM00415,0,0,,4,0,0,0.0,0,3.0,0.312,46,0
SCR000596,FAM00513,1,1,215.0,3,0,0,0.0,0,2.0,0.091,51,0
SCR000597,FAM00373,0,1,,5,0,0,1.0,0,2.0,0.133,68,0
SCR000598,FAM00566,1,0,204.0,2,0,1,0.0,0,5.0,0.389,70,0
SCR000599,FAM00259,0,0,,3,0,1,,0,,0.31,77,0
SCR000600,FAM00471,0,0,,2,0,0,0.0,0,1.0,0.288,47,0
SCR000601,FAM00012,0,0,,1,1,0,1.0,1,2.0,0.344,57,0
SCR000602,FAM00330,0,0,,2,1,0,1.0,0,2.0,0.338,42,0
SCR000603,FAM00358,1,0,362.0,1,1,0,1.0,0,,0.271,79,1
SCR000604,FAM00408,0,0,,5,1,0,0.0,0,,0.426,71,0
SCR000605,FAM00373,0,0,,1,0,0,0.0,1,7.0,0.122,30,0
SCR000606,FAM00008,0,1,,2,0,0,,0,3.0,0.322,79,0
SCR000607,FAM00122,1,0,349.0,2,1,1,0.0,0,1.0,0.412,48,1
SCR000608,FAM00348,0,1,,2,1,1,0.0,0,1.0,0.377,63,1
SCR000609,FAM00090,0,1,,3,0,0,1.0,0,8.0,0.334,33,0
SCR000610,FAM00648,1,0,272.0,1,0,0,1.0,0,3.0,0.415,72,0
SCR000611,FAM00316,0,0,,2,1,1,0.0,0,5.0,0.184,32,0
SCR000612,FAM00178,0,0,,1,0,0,0.0,0,1.0,0.376,70,0
SCR000613,FAM00540,0,0,,4,1,0,1.0,0,3.0,0.14,39,0
SCR000614,FAM00041,0,0,,3,1,0,0.0,0,3.0,0.284,57,0
SCR000615,FAM00502,0,0,,5,0,0,0.0,0,1.0,0.093,63,0
SCR000616,FAM00145,0,0,,1,0,0,0.0,0,2.0,0.352,68,0
SCR000617,FAM00201,1,0,56.0,1,1,0,0.0,1,2.0,0.241,76,0
SCR000618,FAM00461,0,0,,1,0,0,1.0,1,2.0,0.413,48,0
SCR000619,FAM00558,0,0,,1,0,0,0.0,0,4.0,0.166,71,0
SCR000620,FAM00547,0,0,,1,0,0,0.0,0,4.0,0.447,75,0
SCR000621,FAM00253,0,0,,3,0,0,0.0,0,4.0,0.418,65,0
SCR000622,FAM00390,0,0,,1,0,1,1.0,0,4.0,0.331,72,0
SCR000623,FAM00594,0,0,,2,0,0,,0,2.0,0.35,32,0
SCR000624,FAM00256,0,0,,4,0,0,,0,1.0,0.392,52,0
SCR000625,FAM00450,1,0,100.0,3,1,0,1.0,1,,0.364,46,1
SCR000626,FAM00010,0,1,,2,1,0,,1,2.0,0.474,36,1
SCR000627,FAM00242,0,0,,2,1,0,1.0,0,1.0,0.275,55,0
SCR000628,FAM00251,0,0,,2,0,1,1.0,0,2.0,0.303,72,0
SCR000629,FAM00005,2,0,86.0,1,1,0,0.0,1,1.0,0.255,47,1
SCR000630,FAM00119,0,1,,2,0,0,0.0,1,,0.236,75,0
SCR000631,FAM00374,0,0,,2,0,0,0.0,1,1.0,0.364,75,0
SCR000632,FAM00065,1,0,336.0,4,1,0,0.0,0,1.0,0.243,35,0
SCR000633,FAM00146,1,0,51.0,3,0,0,1.0,0,7.0,0.267,60,1
SCR000634,FAM00224,0,0,,2,0,0,1.0,0,4.0,0.294,58,1
SCR000635,FAM00239,0,0,,2,0,0,1.0,0,4.0,0.314,38,0
SCR000636,FAM00177,1,0,174.0,1,1,0,0.0,0,2.0,0.367,64,0
SCR000637,FAM00282,1,1,106.0,3,0,0,1.0,0,4.0,0.107,46,0
SCR000638,FAM00063,1,0,63.0,2,0,0,1.0,1,3.0,0.312,41,1
SCR000639,FAM00217,0,0,,1,0,0,,1,2.0,0.369,65,0
SCR000640,FAM00461,0,0,,1,0,0,1.0,0,7.0,0.318,77,1
SCR000641,FAM00610,0,0,,1,0,0,0.0,1,1.0,0.404,53,0
SCR000642,FAM00105,2,1,81.0,3,0,0,0.0,0,6.0,0.438,39,0
SCR000643,FAM00099,0,0,,1,0,0,0.0,0,,0.405,59,1
SCR000644,FAM00511,1,0,128.0,2,0,1,0.0,0,,0.34,58,0
SCR000645,FAM00385,0,0,,2,1,1,,0,1.0,0.206,68,1
SCR000646,FAM00405,0,1,,2,0,0,0.0,0,2.0,0.34,39,0
SCR000647,FAM00518,1,0,185.0,4,0,0,1.0,0,2.0,0.258,68,1
SCR000648,FAM00476,0,0,,4,0,0,0.0,0,13.0,0.275,57,0
SCR000649,FAM00645,1,0,71.0,2,1,0,1.0,0,8.0,0.35,47,1
SCR000650,FAM00437,3,0,342.0,1,0,0,0.0,1,7.0,0.38,70,0
SCR000651,FAM00023,0,1,,2,0,0,0.0,0,1.0,0.254,79,0
SCR000652,FAM00565,0,0,,2,0,1,0.0,0,10.0,0.237,46,0
SCR000653,FAM00458,0,0,,2,1,1,0.0,0,2.0,0.376,40,1
SCR000654,FAM00083,0,0,,3,0,0,0.0,0,4.0,0.368,30,0
SCR000655,FAM00145,0,0,,1,0,0,0.0,0,1.0,0.289,46,0
SCR000656,FAM00085,0,0,,2,1,0,0.0,0,2.0,0.346,65,0
SCR000657,FAM00078,1,1,79.0,1,0,1,0.0,0,7.0,0.365,65,0
SCR000658,FAM00457,0,0,,3,0,1,,0,6.0,0.358,75,0
SCR000659,FAM00001,0,1,,2,0,1,0.0,0,3.0,0.167,38,0
SCR000660,FAM00051,0,0,,3,0,0,0.0,0,4.0,0.293,74,0
SCR000661,FAM00446,2,0,119.0,1,0,0,0.0,0,1.0,0.226,57,0
SCR000662,FAM00449,0,0,,2,0,0,0.0,1,3.0,0.116,77,0
SCR000663,FAM00488,0,0,,3,0,0,0.0,0,2.0,0.326,62,0
SCR000664,FAM00034,1,1,244.0,1,0,0,1.0,0,1.0,0.363,32,0
SCR000665,FAM00348,0,1,,3,1,0,1.0,1,1.0,0.156,37,1
